quarter,Python,SQL,React,Power BI,Excel,Java,C++,Oracle,JavaScript,AWS,Tableau,C#,Jira,HTML,Windows,Visual Basic,Unix,SQL Server,Docker,C,CSS,COBOL,XML,PostgreSQL,Node.js,Jenkins,TypeScript,Kubernetes,PHP,Linux,Azure,ASP.NET,ASP,LLMs,Terraform,Db2,Angular,MySQL,jQuery,Windows NT,Git,Perl,Snowflake,Spring Boot,Figma,pandas,R,Active Directory,MongoDB,GitHub,S3,GCP,Salesforce,Kafka,JSP,MS Access,PowerBuilder,Azure DevOps,GitHub Actions,.NET,Solaris,Databricks,PL/SQL,Next.js,Crystal Reports,SharePoint,AJAX,Selenium,PyTorch,SAP,Bootstrap,J2EE,Postman,ServiceNow,NumPy,Flask,MATLAB,EC2,Splunk,Confluence,Django,TCP/IP,scikit-learn,IIS,Ansible,TensorFlow,JSON,VMware,Novell,Spark,PowerShell,GraphQL,Airflow,Vue.js,Go,SSIS,Flash,SSRS,Delphi,Hadoop
1998Q3,0.1885,2.4298,0.0209,0.0209,1.6129,3.1630,3.1630,3.2049,1.2778,0.0628,0.0209,0.7331,0.1257,2.1575,1.8852,2.5555,2.0737,2.0737,0.0000,2.0528,0.5865,2.0109,0.6703,0.1466,0.0209,0.0838,0.0000,0.0000,0.5027,1.2778,0.0628,0.3561,0.9426,0.0000,0.0000,1.4453,0.0419,0.5656,0.0838,1.2778,0.0419,1.4034,0.0000,0.0000,0.0000,0.0000,0.0209,0.7541,0.0209,0.0419,0.0000,0.0209,0.0838,0.0209,0.3561,0.7750,0.7960,0.0000,0.0000,0.3980,0.8379,0.0000,0.8798,0.0000,0.8798,0.1676,0.0628,0.0209,0.0000,0.6075,0.0000,0.2723,0.0000,0.0419,0.0000,0.0000,0.0419,0.0000,0.0419,0.0000,0.0209,0.5237,0.0000,0.4818,0.0209,0.0000,0.0209,0.2095,0.3980,0.0419,0.0628,0.0000,0.0000,0.0000,0.0000,0.0628,0.2304,0.1047,0.2933,0.0209
1998Q4,0.1649,2.4526,0.0206,0.0206,1.5458,3.1739,2.9885,3.4419,1.3603,0.0618,0.0206,0.7832,0.1237,2.1228,1.7312,2.6381,2.0404,2.1641,0.0000,1.8961,0.5977,1.8343,0.7007,0.1031,0.0206,0.0412,0.0000,0.0000,0.4946,1.3190,0.0618,0.4740,0.9068,0.0000,0.0000,1.4221,0.0412,0.5359,0.1237,1.1954,0.0206,1.2778,0.0000,0.0000,0.0000,0.0000,0.0206,0.7214,0.0206,0.0412,0.0000,0.0206,0.0824,0.0206,0.3298,0.7626,0.7832,0.0000,0.0000,0.4534,0.8450,0.0000,0.8244,0.0000,0.9481,0.2267,0.1237,0.0206,0.0000,0.6183,0.0000,0.2473,0.0000,0.0618,0.0000,0.0000,0.0618,0.0000,0.0412,0.0206,0.0000,0.5153,0.0000,0.5359,0.0206,0.0000,0.0206,0.2679,0.4122,0.0206,0.0824,0.0000,0.0000,0.0000,0.0000,0.0824,0.2061,0.0618,0.2679,0.0206
1999Q1,0.1616,2.4247,0.0000,0.0202,1.4750,2.9097,2.9501,3.6169,1.7781,0.0606,0.0404,0.8487,0.1010,2.4247,1.5761,2.4651,1.8590,2.4854,0.0000,1.5559,0.7072,1.4548,0.8891,0.1010,0.0000,0.0404,0.0000,0.0000,0.7678,1.3336,0.0202,0.6264,1.2730,0.0000,0.0000,1.2932,0.0606,0.6466,0.1414,0.9901,0.0202,1.5155,0.0000,0.0000,0.0404,0.0000,0.0202,0.5860,0.0202,0.0404,0.0000,0.0000,0.1010,0.0000,0.4243,0.7274,0.4849,0.0000,0.0000,0.4243,0.6870,0.0000,0.8285,0.0000,0.7678,0.2021,0.1616,0.0202,0.0000,0.5456,0.0000,0.4041,0.0000,0.0606,0.0000,0.0000,0.1010,0.0000,0.0404,0.0202,0.0000,0.5456,0.0000,0.4041,0.0000,0.0000,0.0202,0.3637,0.4647,0.0202,0.1212,0.0000,0.0000,0.0000,0.0000,0.1616,0.2829,0.0202,0.2425,0.0202
1999Q2,0.1578,2.4660,0.0000,0.0197,1.3612,2.9986,2.9394,3.6694,1.8347,0.0592,0.0395,0.8877,0.0789,2.4068,1.6571,2.3279,2.0122,2.5449,0.0000,1.4599,0.7694,1.5585,1.0850,0.1184,0.0000,0.0000,0.0000,0.0000,0.7497,1.3612,0.0000,0.5918,1.3020,0.0000,0.0000,1.2823,0.0592,0.6510,0.1775,0.9864,0.0592,1.4796,0.0000,0.0000,0.0395,0.0000,0.0197,0.5918,0.0197,0.0197,0.0000,0.0000,0.0789,0.0000,0.4537,0.7497,0.4340,0.0000,0.0000,0.4932,0.6510,0.0000,0.8286,0.0000,0.7694,0.2762,0.2170,0.0197,0.0000,0.6116,0.0000,0.3946,0.0000,0.0592,0.0000,0.0000,0.1184,0.0000,0.0197,0.0197,0.0000,0.6116,0.0000,0.3946,0.0000,0.0000,0.0986,0.2762,0.4143,0.0000,0.0986,0.0000,0.0000,0.0197,0.0000,0.1381,0.1973,0.0395,0.2565,0.0197
1999Q3,0.1926,2.4841,0.0000,0.0000,1.2902,3.0811,3.0233,3.8128,1.8294,0.0385,0.0193,0.9436,0.0770,2.3493,1.7331,2.2530,2.1182,2.5804,0.0000,1.3287,0.7895,1.2324,1.2902,0.1541,0.0000,0.0000,0.0000,0.0000,0.8280,1.4443,0.0000,0.6740,1.5598,0.0000,0.0000,1.0399,0.0578,0.6547,0.2118,0.8858,0.0770,1.4828,0.0000,0.0000,0.0385,0.0000,0.0193,0.5584,0.0385,0.0000,0.0000,0.0000,0.0385,0.0193,0.4814,0.8473,0.3851,0.0000,0.0000,0.4622,0.8088,0.0000,0.7510,0.0000,0.8088,0.3274,0.2503,0.0000,0.0193,0.6932,0.0193,0.5777,0.0000,0.0193,0.0000,0.0000,0.1541,0.0000,0.0193,0.0193,0.0000,0.6932,0.0000,0.4429,0.0000,0.0193,0.1155,0.2311,0.3466,0.0193,0.0578,0.0000,0.0193,0.0193,0.0193,0.1348,0.1733,0.0578,0.2503,0.0385
1999Q4,0.2409,2.5019,0.0000,0.0000,1.2973,3.2246,3.1319,3.6879,2.0571,0.0556,0.0556,0.9266,0.0741,2.4463,1.9644,2.2053,2.1683,2.5389,0.0000,1.3529,0.8340,1.2602,1.5011,0.1483,0.0000,0.0371,0.0000,0.0000,0.9081,1.5196,0.0000,0.6857,1.7235,0.0000,0.0000,1.1119,0.0741,0.7598,0.2409,0.9081,0.0741,1.5382,0.0000,0.0000,0.0371,0.0000,0.0185,0.5930,0.0371,0.0000,0.0000,0.0000,0.0371,0.0185,0.6116,0.8154,0.3706,0.0000,0.0000,0.4262,0.8895,0.0000,0.7784,0.0000,0.7598,0.2965,0.1853,0.0000,0.0185,0.7413,0.0556,0.6857,0.0000,0.0000,0.0000,0.0000,0.1297,0.0000,0.0185,0.0000,0.0000,0.5930,0.0000,0.4448,0.0185,0.0185,0.1297,0.1668,0.3336,0.0185,0.0741,0.0000,0.0185,0.0185,0.0185,0.1112,0.2224,0.0927,0.2595,0.0371
2000Q1,0.4243,2.5927,0.0314,0.0157,1.5713,3.5827,3.2055,3.5827,2.3099,0.1100,0.0943,1.0057,0.0471,2.5456,1.9642,2.1999,2.0899,2.5141,0.0157,1.5242,0.9899,0.8328,1.7599,0.2043,0.0471,0.0471,0.0000,0.0000,1.0371,1.7442,0.0471,0.8328,1.6970,0.0314,0.0157,0.9899,0.0471,0.8799,0.2671,0.8642,0.0943,1.5085,0.0000,0.0000,0.0000,0.0157,0.0786,0.6600,0.0629,0.0000,0.0157,0.0157,0.0314,0.0157,0.7228,0.6600,0.2828,0.0000,0.0000,0.5343,0.7228,0.0000,0.8014,0.0157,0.7071,0.2986,0.2828,0.0157,0.0314,0.5971,0.0629,0.5971,0.0000,0.0000,0.0000,0.0000,0.1257,0.0157,0.0000,0.0000,0.0000,0.6600,0.0157,0.5500,0.0157,0.0157,0.1571,0.1728,0.2043,0.0157,0.0629,0.0000,0.0157,0.0157,0.0314,0.0629,0.2986,0.0943,0.2828,0.0314
2000Q2,0.4723,2.5830,0.0443,0.0148,1.5793,3.7638,3.0258,3.3948,2.3616,0.1476,0.1033,1.1218,0.0443,2.6716,1.9483,1.9926,1.8745,2.6125,0.0148,1.5203,1.0775,0.6199,1.9483,0.2214,0.0443,0.0443,0.0000,0.0148,1.0627,1.7565,0.0443,0.8413,1.6827,0.0295,0.0148,0.9004,0.0443,0.9594,0.2362,0.8413,0.0590,1.4908,0.0148,0.0000,0.0000,0.0148,0.0590,0.7528,0.0590,0.0000,0.0295,0.0148,0.0295,0.0295,0.8708,0.5904,0.2362,0.0000,0.0000,0.5756,0.7528,0.0000,0.8413,0.0148,0.8118,0.2362,0.2952,0.0148,0.0295,0.4428,0.0590,0.6494,0.0000,0.0000,0.0000,0.0000,0.1328,0.0148,0.0000,0.0000,0.0000,0.6052,0.0148,0.6494,0.0148,0.0148,0.1181,0.1771,0.1476,0.0295,0.0590,0.0000,0.0148,0.0148,0.0295,0.0590,0.3690,0.0886,0.1919,0.0148
2000Q3,0.4793,2.5941,0.0564,0.0141,1.5226,3.9053,2.9607,3.3413,2.5659,0.1269,0.0987,1.2689,0.0282,2.8197,1.9174,2.0443,1.7482,2.6223,0.0282,1.5790,1.0010,0.7331,2.1007,0.2538,0.0564,0.0423,0.0000,0.0141,1.0433,1.8610,0.0423,0.8177,1.6636,0.0282,0.0141,0.9728,0.0423,0.9305,0.1974,0.8741,0.0564,1.5508,0.0141,0.0000,0.0000,0.0141,0.1128,0.7190,0.0423,0.0000,0.0282,0.0282,0.0564,0.0141,1.0715,0.5357,0.2115,0.0141,0.0000,0.6626,0.7049,0.0000,0.9023,0.0141,0.7049,0.2397,0.2961,0.0141,0.0141,0.4652,0.0564,0.6626,0.0000,0.0000,0.0000,0.0000,0.1128,0.0141,0.0000,0.0000,0.0000,0.5639,0.0141,0.6485,0.0141,0.0000,0.1410,0.2115,0.2115,0.0141,0.0564,0.0000,0.0000,0.0141,0.0141,0.0423,0.4230,0.0705,0.2115,0.0000
2000Q4,0.4257,2.5542,0.0549,0.0137,1.5243,3.9138,2.8564,3.2958,2.4856,0.1236,0.0824,1.3458,0.0412,2.7602,1.8127,1.9637,1.7303,2.5680,0.0275,1.6342,1.0025,0.6317,2.1697,0.2609,0.0549,0.0137,0.0000,0.0137,1.0162,1.8676,0.0549,0.8651,1.6204,0.0275,0.0137,0.8789,0.0275,0.8789,0.1511,0.8239,0.0549,1.5655,0.0137,0.0000,0.0137,0.0137,0.1099,0.8239,0.0412,0.0000,0.0275,0.0275,0.0412,0.0275,0.9887,0.6042,0.1511,0.0137,0.0000,0.6592,0.7004,0.0000,0.9887,0.0137,0.6729,0.2609,0.3158,0.0137,0.0137,0.4669,0.0275,0.6180,0.0137,0.0275,0.0000,0.0000,0.1099,0.0137,0.0000,0.0000,0.0000,0.6592,0.0137,0.7004,0.0137,0.0000,0.1373,0.2609,0.1648,0.0137,0.0412,0.0000,0.0000,0.0137,0.0137,0.0687,0.4257,0.0412,0.2335,0.0137
2001Q1,0.3380,2.3956,0.0735,0.0147,1.3521,3.7037,2.4838,2.9394,2.5426,0.1470,0.0441,1.5138,0.0441,2.5132,1.6902,1.7490,1.7490,2.5720,0.0441,1.4550,0.9112,0.6908,2.0576,0.2499,0.0441,0.0147,0.0000,0.0294,0.9259,1.8372,0.0147,0.8818,1.4697,0.0147,0.0000,0.8818,0.0588,0.9406,0.1470,0.6761,0.0441,1.3962,0.0147,0.0000,0.0147,0.0147,0.0735,0.9406,0.0294,0.0000,0.0294,0.0441,0.0441,0.0294,1.0729,0.6908,0.1764,0.0147,0.0000,0.7202,0.7937,0.0000,0.9994,0.0000,0.7202,0.2939,0.2352,0.0000,0.0000,0.4997,0.0441,0.7202,0.0147,0.0441,0.0147,0.0000,0.1764,0.0000,0.0000,0.0147,0.0147,0.6320,0.0000,0.6026,0.0294,0.0000,0.1029,0.2792,0.2058,0.0147,0.0441,0.0000,0.0000,0.0294,0.0000,0.1323,0.4556,0.0588,0.2058,0.0147
2001Q2,0.2749,2.2148,0.0764,0.0153,1.1914,3.6505,2.5661,2.7341,2.5813,0.1375,0.0305,1.4969,0.0764,2.3675,1.6343,1.7565,1.7871,2.3369,0.0458,1.4205,0.8859,0.7026,1.9398,0.2291,0.0458,0.0153,0.0000,0.0153,1.0234,1.8024,0.0305,0.9470,1.3747,0.0153,0.0000,0.8706,0.0611,1.0386,0.1680,0.5499,0.0458,1.3899,0.0000,0.0000,0.0153,0.0153,0.0764,0.8859,0.0305,0.0000,0.0153,0.0458,0.0458,0.0153,1.0386,0.6873,0.1680,0.0153,0.0000,0.7637,0.7179,0.0000,0.9623,0.0000,0.6262,0.2902,0.2444,0.0000,0.0000,0.5804,0.0611,0.8095,0.0153,0.0611,0.0153,0.0000,0.2749,0.0000,0.0305,0.0305,0.0153,0.6415,0.0000,0.5499,0.0458,0.0000,0.1069,0.3360,0.2444,0.0000,0.0916,0.0000,0.0000,0.0153,0.0000,0.1680,0.5346,0.1222,0.2291,0.0153
2001Q3,0.3025,2.3248,0.0796,0.0318,1.4490,3.5191,2.4682,2.5478,2.5000,0.1592,0.0478,1.5446,0.1115,2.2452,1.6083,1.7675,1.7516,2.2611,0.0318,1.4490,1.0669,0.6369,1.8153,0.1911,0.0478,0.0318,0.0000,0.0159,1.1624,1.6720,0.0318,1.0510,1.4013,0.0159,0.0000,0.7484,0.0637,1.1943,0.2548,0.3981,0.0637,1.3535,0.0000,0.0000,0.0159,0.0318,0.0159,1.0191,0.0318,0.0000,0.0318,0.0318,0.0159,0.0159,0.8280,0.6529,0.1911,0.0000,0.0000,0.7006,0.6847,0.0000,0.8758,0.0000,0.8121,0.2389,0.2389,0.0159,0.0000,0.5255,0.0637,0.7484,0.0159,0.0796,0.0159,0.0000,0.2707,0.0000,0.0318,0.0318,0.0159,0.6369,0.0000,0.5096,0.0478,0.0000,0.0796,0.3503,0.1433,0.0000,0.1433,0.0000,0.0000,0.0159,0.0000,0.2389,0.5573,0.1115,0.1911,0.0478
2001Q4,0.3668,2.4008,0.0834,0.0333,1.5672,3.3678,2.3174,2.5175,2.5675,0.2167,0.0333,1.6339,0.1167,2.3008,1.5005,1.9340,1.5505,2.3675,0.0500,1.2671,1.0670,0.6669,1.6339,0.1834,0.0500,0.0333,0.0000,0.0333,1.2838,1.6005,0.0333,1.1504,1.4171,0.0167,0.0000,0.7169,0.0667,1.2504,0.2668,0.3668,0.0667,1.3004,0.0167,0.0167,0.0000,0.0333,0.0167,1.0337,0.0333,0.0333,0.0333,0.0500,0.0167,0.0000,0.9003,0.5835,0.1834,0.0000,0.0000,0.7503,0.6335,0.0000,0.7169,0.0000,0.8336,0.2001,0.2668,0.0167,0.0000,0.5335,0.0667,0.7503,0.0000,0.0667,0.0167,0.0000,0.2834,0.0000,0.0333,0.0500,0.0167,0.5502,0.0000,0.5002,0.0333,0.0000,0.0667,0.3835,0.1501,0.0000,0.1501,0.0000,0.0000,0.0167,0.0167,0.2834,0.5502,0.1334,0.1501,0.0333
2002Q1,0.4121,2.3831,0.0538,0.0179,1.5230,3.3507,2.3831,2.2039,2.5802,0.1613,0.0358,1.8276,0.1254,2.4010,1.5589,2.0247,1.3259,2.4010,0.0179,1.2722,1.1647,0.6630,1.5947,0.2150,0.0358,0.0179,0.0179,0.0179,1.3438,1.4693,0.0538,1.2901,1.3797,0.0000,0.0000,0.6450,0.0358,1.2005,0.2509,0.2509,0.0896,1.3618,0.0179,0.0179,0.0000,0.0179,0.0000,1.0572,0.0358,0.0717,0.0179,0.0358,0.0179,0.0000,0.6630,0.6988,0.1792,0.0000,0.0000,0.7346,0.5555,0.0000,0.6092,0.0000,0.8242,0.1254,0.2688,0.0358,0.0000,0.4300,0.0358,0.6630,0.0179,0.0538,0.0000,0.0000,0.3404,0.0000,0.0358,0.0358,0.0000,0.3584,0.0000,0.5017,0.0179,0.0000,0.0717,0.3584,0.0896,0.0000,0.1433,0.0179,0.0000,0.0179,0.0179,0.2509,0.5017,0.1075,0.2688,0.0538
