canonical_skill,n_docs_used,n_docs_total,mean_idf_p50,mean_idf_avg
continuous loops,11,11,4.0335,4.0961
retrieval,30,10649,4.427,4.4228
data labeling,29,384,3.9068,3.9471
distillation,30,1263,4.3716,4.3245
observational causal inference,3,3,4.7555,4.5247
synthetic data pipelines,24,24,4.177,4.2151
learning rate schedulers,10,10,4.4611,4.4456
eks,30,1378,4.6355,4.7713
cognito,30,358,4.3735,4.4688
representation learning,26,355,4.4708,4.4397
metrics,30,34163,4.2838,4.2603
document intelligence,29,232,4.2758,4.3991
layout detection,26,26,4.3755,4.3213
structured extraction,30,152,4.2967,4.3486
chunking,30,1442,4.4245,4.362
transformer-based ocsr,1,1,4.8067,4.8067
layout models,8,8,4.6476,4.6407
distributed computing,30,699,3.9441,3.9297
model versioning,30,485,4.2946,4.2592
batch inference,28,261,4.3595,4.379
inference,30,15556,4.3207,4.2497
applied machine learning,26,139,4.1138,4.225
alerting,26,5823,4.2357,4.3029
data ingestion,29,1695,4.1556,4.1411
token usage tracking,18,18,4.2633,4.2147
latency monitoring,30,89,4.4633,4.3753
reasoning paths,30,135,4.3275,4.2936
llm inference,30,998,4.3601,4.3415
ai engineering,30,1432,3.8981,3.8568
infrastructure-as-code,22,3648,4.1632,4.0595
ml pipelines,26,584,4.1136,4.2147
gpu orchestration,30,52,4.3862,4.3888
open-source contributions,19,413,4.131,4.0889
time-series data,28,605,4.3468,4.252
information retrieval,26,959,4.2837,4.2846
networking,27,10111,4.2949,4.3505
rollouts,30,3931,4.6214,4.5532
vllm,30,1134,4.6624,4.6947
pulumi,29,580,4.4161,4.4028
grafana,30,2829,4.6409,4.6518
model drift detection,30,55,4.3713,4.3406
ml infrastructure,28,209,4.2762,4.2482
